id_seq1,target_seq1,id_seq2,target_seq2,distance
sequence_47787,5.0,sequence_47721,40.0,697.6137
sequence_47787,5.0,sequence_47759,36.0,697.6137
sequence_47787,5.0,sequence_47774,21.0,697.6137
sequence_47787,5.0,sequence_47770,25.0,697.6137
sequence_47787,5.0,sequence_47713,51.0,337.9506
sequence_47787,5.0,sequence_47738,55.0,337.9506
sequence_47787,5.0,sequence_47769,25.0,697.6137
sequence_47787,5.0,sequence_47702,69.0,473.5061
sequence_47787,5.0,sequence_47672,76.0,473.5061
sequence_47787,5.0,sequence_47705,71.0,473.5061
sequence_47787,5.0,sequence_47694,51.0,473.5061
sequence_47787,5.0,sequence_47691,40.0,473.5061
sequence_47787,5.0,sequence_47701,63.0,388.3722
sequence_47787,5.0,sequence_47706,77.0,388.3722
sequence_47787,5.0,sequence_47675,57.0,388.3722
sequence_47787,5.0,sequence_47698,56.0,473.5061
sequence_47787,5.0,sequence_47688,90.0,712.8841
sequence_47787,5.0,sequence_47704,98.0,697.6137
sequence_47787,5.0,sequence_47708,111.0,697.6137
sequence_47787,5.0,sequence_47709,119.0,697.6137
sequence_47787,5.0,sequence_47677,103.0,697.6137
sequence_47787,5.0,sequence_47692,87.5,697.6137
sequence_47787,5.0,sequence_47703,95.0,697.6137
sequence_47787,5.0,sequence_47707,79.0,697.6137
sequence_47787,5.0,sequence_47762,127.0,697.6137
sequence_47787,5.0,sequence_47765,118.0,697.6137
sequence_47787,5.0,sequence_47767,105.0,697.6137
sequence_47787,5.0,sequence_47812,121.0,697.6137
sequence_47787,5.0,sequence_47761,120.0,697.6137
sequence_47787,5.0,sequence_47764,118.0,697.6137
sequence_47787,5.0,sequence_47763,122.0,697.6137
sequence_47787,5.0,sequence_47699,62.0,697.6137
sequence_47787,5.0,sequence_47687,92.0,697.6137
sequence_47787,5.0,sequence_47693,64.0,697.6137
sequence_47787,5.0,sequence_47690,63.0,697.6137
sequence_47787,5.0,sequence_47712,49.0,697.6137
sequence_47787,5.0,sequence_47714,51.0,697.6137
sequence_47787,5.0,sequence_47725,57.0,697.6137
sequence_47787,5.0,sequence_47669,32.0,473.5061
sequence_47787,5.0,sequence_47668,48.0,473.5061
sequence_47787,5.0,sequence_47670,97.0,473.5061
sequence_47787,5.0,sequence_47665,50.0,473.5061
sequence_47787,5.0,sequence_47661,52.0,473.5061
sequence_47787,5.0,sequence_47667,86.0,488.7765
sequence_47787,5.0,sequence_47726,120.0,490.052
sequence_47787,5.0,sequence_47734,110.0,490.052
sequence_47787,5.0,sequence_47811,24.0,490.052
sequence_47787,5.0,sequence_47662,28.0,490.052
sequence_47787,5.0,sequence_47731,32.0,488.7765
sequence_47787,5.0,sequence_47733,25.0,488.7765
sequence_47787,5.0,sequence_47732,30.0,490.052
sequence_47787,5.0,sequence_47755,100.0,473.5061
sequence_47787,5.0,sequence_47746,94.0,608.7516
sequence_47787,5.0,sequence_47754,70.0,473.5061
sequence_47787,5.0,sequence_47753,74.0,608.7516
sequence_47787,5.0,sequence_47740,158.0,413.6113
sequence_47787,5.0,sequence_47742,108.0,697.6137
sequence_47787,5.0,sequence_47715,101.0,697.6137
sequence_47787,5.0,sequence_47718,81.0,697.6137
sequence_47787,5.0,sequence_47717,66.0,697.6137
sequence_47787,5.0,sequence_47720,80.0,697.6137
sequence_47787,5.0,sequence_47716,84.0,697.6137
sequence_47787,5.0,sequence_47719,66.0,697.6137
sequence_47787,5.0,sequence_47723,69.0,697.6137
sequence_47787,5.0,sequence_47722,75.0,697.6137
sequence_47787,5.0,sequence_47674,38.0,473.5061
sequence_47787,5.0,sequence_47676,56.0,697.6137
sequence_47787,5.0,sequence_47711,57.0,697.6137
sequence_47787,5.0,sequence_47739,35.0,697.6137
sequence_47787,5.0,sequence_47735,55.0,697.6137
sequence_47787,5.0,sequence_47793,16.0,384.644
sequence_47787,5.0,sequence_47801,4.0,428.8817
sequence_47787,5.0,sequence_47805,22.0,428.8817
sequence_47787,5.0,sequence_47802,4.0,473.5061
sequence_47787,5.0,sequence_47794,18.0,473.5061
sequence_47787,5.0,sequence_47728,12.0,337.9506
sequence_47787,5.0,sequence_47808,4.0,75.6917
sequence_47787,5.0,sequence_47792,12.0,172.3835
sequence_47787,5.0,sequence_47791,4.0,384.644
sequence_47787,5.0,sequence_47788,5.0,473.5061
sequence_47787,5.0,sequence_47729,34.0,337.9506
sequence_47787,5.0,sequence_47809,10.0,172.3835
sequence_47787,5.0,sequence_47737,27.0,337.9506
sequence_47787,5.0,sequence_47810,5.57,325.4982
sequence_47787,5.0,sequence_47766,4.19,312.0723
sequence_47787,5.0,sequence_47736,19.0,337.9506
sequence_47684,23.0,sequence_47787,5.0,388.3722
sequence_47684,23.0,sequence_47789,10.0,697.6137
sequence_47684,23.0,sequence_47790,9.0,488.7765
sequence_47684,23.0,sequence_47781,12.0,388.3722
sequence_47684,23.0,sequence_47777,11.0,388.3722
sequence_47684,23.0,sequence_47779,11.0,388.3722
sequence_47684,23.0,sequence_47784,21.0,401.18989999999997
sequence_47684,23.0,sequence_47786,18.0,409.6625
sequence_47684,23.0,sequence_47782,17.0,409.6625
sequence_47684,23.0,sequence_47772,12.0,388.3722
sequence_47684,23.0,sequence_47795,7.0,505.3224
sequence_47684,23.0,sequence_47776,9.0,388.3722
sequence_47684,23.0,sequence_47685,24.0,473.5061
sequence_47684,23.0,sequence_47679,44.0,233.81810000000002
sequence_47684,23.0,sequence_47695,52.0,428.8817
sequence_47684,23.0,sequence_47710,43.0,428.8817
sequence_47684,23.0,sequence_47686,22.0,697.6137
sequence_47684,23.0,sequence_47778,26.0,697.6137
sequence_47684,23.0,sequence_47780,23.0,697.6137
sequence_47684,23.0,sequence_47785,25.0,697.6137
sequence_47684,23.0,sequence_47803,12.0,697.6137
sequence_47684,23.0,sequence_47663,36.0,401.18989999999997
sequence_47684,23.0,sequence_47757,36.0,447.51800000000003
sequence_47684,23.0,sequence_47783,24.5,490.052
sequence_47684,23.0,sequence_47796,20.0,488.7765
sequence_47684,23.0,sequence_47750,25.0,447.51800000000003
sequence_47684,23.0,sequence_47760,26.0,464.0639
sequence_47684,23.0,sequence_47773,19.0,697.6137
sequence_47684,23.0,sequence_47768,17.0,388.3722
sequence_47684,23.0,sequence_47771,18.0,388.3722
sequence_47684,23.0,sequence_47681,44.0,473.5061
sequence_47684,23.0,sequence_47696,47.0,473.5061
sequence_47684,23.0,sequence_47680,73.0,233.81810000000002
sequence_47684,23.0,sequence_47673,65.5,337.9506
sequence_47684,23.0,sequence_47700,65.0,355.4443
sequence_47684,23.0,sequence_47689,52.0,428.8817
sequence_47684,23.0,sequence_47683,75.0,697.6137
sequence_47684,23.0,sequence_47697,55.5,697.6137
sequence_47684,23.0,sequence_47678,37.0,697.6137
sequence_47684,23.0,sequence_47682,53.0,697.6137
sequence_47684,23.0,sequence_47724,48.0,697.6137
sequence_47684,23.0,sequence_47806,73.0,697.6137
sequence_47684,23.0,sequence_47807,42.0,697.6137
sequence_47684,23.0,sequence_47804,23.0,697.6137
sequence_47684,23.0,sequence_47800,20.0,697.6137
sequence_47684,23.0,sequence_47799,24.0,697.6137
sequence_47684,23.0,sequence_47664,32.0,473.5061
sequence_47684,23.0,sequence_47666,69.0,401.18989999999997
sequence_47684,23.0,sequence_47671,36.0,401.18989999999997
sequence_47684,23.0,sequence_47727,45.0,490.052
sequence_47684,23.0,sequence_47756,37.0,490.052
sequence_47684,23.0,sequence_47775,23.0,490.052
sequence_47684,23.0,sequence_47730,35.0,488.7765
sequence_47684,23.0,sequence_47758,22.0,488.7765
sequence_47684,23.0,sequence_47797,27.0,490.052
sequence_47684,23.0,sequence_47798,23.0,488.7765
sequence_47684,23.0,sequence_47751,34.0,473.5061
sequence_47684,23.0,sequence_47741,102.0,447.51800000000003
sequence_47684,23.0,sequence_47743,63.0,447.51800000000003
sequence_47684,23.0,sequence_47752,67.0,447.51800000000003
sequence_47684,23.0,sequence_47745,83.0,608.7516
sequence_47684,23.0,sequence_47747,72.0,447.51800000000003
sequence_47684,23.0,sequence_47748,79.0,447.51800000000003
sequence_47684,23.0,sequence_47749,81.0,447.51800000000003
sequence_47684,23.0,sequence_47744,69.0,447.51800000000003
sequence_47684,23.0,sequence_47721,40.0,697.6137
sequence_47684,23.0,sequence_47759,36.0,697.6137
sequence_47684,23.0,sequence_47774,21.0,697.6137
sequence_47684,23.0,sequence_47770,25.0,697.6137
sequence_47684,23.0,sequence_47713,51.0,671.6256
sequence_47684,23.0,sequence_47738,55.0,447.51800000000003
sequence_47684,23.0,sequence_47769,25.0,697.6137
sequence_47684,23.0,sequence_47702,69.0,473.5061
sequence_47684,23.0,sequence_47672,76.0,473.5061
sequence_47684,23.0,sequence_47705,71.0,473.5061
sequence_47684,23.0,sequence_47694,51.0,473.5061
sequence_47684,23.0,sequence_47691,40.0,473.5061
sequence_47684,23.0,sequence_47701,63.0,355.4443
sequence_47684,23.0,sequence_47706,77.0,233.81810000000002
sequence_47684,23.0,sequence_47675,57.0,337.9506
sequence_47684,23.0,sequence_47698,56.0,473.5061
sequence_47684,23.0,sequence_47688,90.0,712.8841
sequence_47684,23.0,sequence_47704,98.0,697.6137
sequence_47684,23.0,sequence_47708,111.0,697.6137
sequence_47684,23.0,sequence_47709,119.0,697.6137
sequence_47684,23.0,sequence_47677,103.0,697.6137
sequence_47684,23.0,sequence_47692,87.5,697.6137
sequence_47684,23.0,sequence_47703,95.0,697.6137
sequence_47684,23.0,sequence_47707,79.0,697.6137
sequence_47684,23.0,sequence_47762,127.0,697.6137
sequence_47684,23.0,sequence_47765,118.0,697.6137
sequence_47684,23.0,sequence_47767,105.0,697.6137
sequence_47684,23.0,sequence_47812,121.0,697.6137
sequence_47684,23.0,sequence_47761,120.0,697.6137
sequence_47684,23.0,sequence_47764,118.0,697.6137
sequence_47684,23.0,sequence_47763,122.0,697.6137
sequence_47684,23.0,sequence_47699,62.0,697.6137
sequence_47684,23.0,sequence_47687,92.0,697.6137
sequence_47684,23.0,sequence_47693,64.0,697.6137
sequence_47684,23.0,sequence_47690,63.0,697.6137
sequence_47684,23.0,sequence_47712,49.0,697.6137
sequence_47684,23.0,sequence_47714,51.0,697.6137
sequence_47684,23.0,sequence_47725,57.0,697.6137
sequence_47684,23.0,sequence_47669,32.0,473.5061
sequence_47684,23.0,sequence_47668,48.0,473.5061
sequence_47684,23.0,sequence_47670,97.0,473.5061
sequence_47684,23.0,sequence_47665,50.0,473.5061
sequence_47684,23.0,sequence_47661,52.0,473.5061
sequence_47684,23.0,sequence_47667,86.0,488.7765
sequence_47684,23.0,sequence_47726,120.0,490.052
sequence_47684,23.0,sequence_47734,110.0,490.052
sequence_47684,23.0,sequence_47811,24.0,490.052
sequence_47684,23.0,sequence_47662,28.0,490.052
sequence_47684,23.0,sequence_47731,32.0,488.7765
sequence_47684,23.0,sequence_47733,25.0,488.7765
sequence_47684,23.0,sequence_47732,30.0,490.052
sequence_47684,23.0,sequence_47755,100.0,473.5061
sequence_47684,23.0,sequence_47746,94.0,608.7516
sequence_47684,23.0,sequence_47754,70.0,473.5061
sequence_47684,23.0,sequence_47753,74.0,608.7516
sequence_47684,23.0,sequence_47740,158.0,447.51800000000003
sequence_47684,23.0,sequence_47742,108.0,697.6137
sequence_47684,23.0,sequence_47715,101.0,697.6137
sequence_47684,23.0,sequence_47718,81.0,697.6137
sequence_47684,23.0,sequence_47717,66.0,697.6137
sequence_47684,23.0,sequence_47720,80.0,697.6137
sequence_47684,23.0,sequence_47716,84.0,697.6137
sequence_47684,23.0,sequence_47719,66.0,697.6137
sequence_47684,23.0,sequence_47723,69.0,697.6137
sequence_47684,23.0,sequence_47722,75.0,697.6137
sequence_47684,23.0,sequence_47674,38.0,473.5061
sequence_47684,23.0,sequence_47676,56.0,697.6137
sequence_47684,23.0,sequence_47711,57.0,697.6137
sequence_47684,23.0,sequence_47739,35.0,697.6137
sequence_47684,23.0,sequence_47735,55.0,697.6137
sequence_47684,23.0,sequence_47793,16.0,388.3722
sequence_47684,23.0,sequence_47801,4.0,428.8817
sequence_47684,23.0,sequence_47805,22.0,428.8817
sequence_47684,23.0,sequence_47802,4.0,473.5061
sequence_47684,23.0,sequence_47794,18.0,473.5061
sequence_47684,23.0,sequence_47728,12.0,388.3722
sequence_47684,23.0,sequence_47808,4.0,464.0639
sequence_47684,23.0,sequence_47792,12.0,388.3722
sequence_47684,23.0,sequence_47791,4.0,388.3722
sequence_47684,23.0,sequence_47788,5.0,473.5061
sequence_47684,23.0,sequence_47729,34.0,388.3722
sequence_47684,23.0,sequence_47809,10.0,464.0639
sequence_47684,23.0,sequence_47737,27.0,464.0639
sequence_47684,23.0,sequence_47810,5.57,337.9506
sequence_47684,23.0,sequence_47766,4.19,337.9506
sequence_47684,23.0,sequence_47736,19.0,464.0639
sequence_47789,10.0,sequence_47787,5.0,697.6137
sequence_47789,10.0,sequence_47684,23.0,697.6137
sequence_47789,10.0,sequence_47790,9.0,284.00239999999997
sequence_47789,10.0,sequence_47781,12.0,697.6137
sequence_47789,10.0,sequence_47777,11.0,697.6137
sequence_47789,10.0,sequence_47779,11.0,697.6137
sequence_47789,10.0,sequence_47784,21.0,697.6137
sequence_47789,10.0,sequence_47786,18.0,697.6137
sequence_47789,10.0,sequence_47782,17.0,697.6137
sequence_47789,10.0,sequence_47772,12.0,697.6137
sequence_47789,10.0,sequence_47795,7.0,697.6137
sequence_47789,10.0,sequence_47776,9.0,697.6137
sequence_47789,10.0,sequence_47685,24.0,488.7765
sequence_47789,10.0,sequence_47679,44.0,697.6137
sequence_47789,10.0,sequence_47695,52.0,697.6137
sequence_47789,10.0,sequence_47710,43.0,697.6137
sequence_47789,10.0,sequence_47686,22.0,388.3722
sequence_47789,10.0,sequence_47778,26.0,233.81810000000002
sequence_47789,10.0,sequence_47780,23.0,233.81810000000002
sequence_47789,10.0,sequence_47785,25.0,324.7492
sequence_47789,10.0,sequence_47803,12.0,428.8817
sequence_47789,10.0,sequence_47663,36.0,697.6137
sequence_47789,10.0,sequence_47757,36.0,697.6137
sequence_47789,10.0,sequence_47783,24.5,473.5061
sequence_47789,10.0,sequence_47796,20.0,697.6137
sequence_47789,10.0,sequence_47750,25.0,697.6137
sequence_47789,10.0,sequence_47760,26.0,697.6137
sequence_47789,10.0,sequence_47773,19.0,337.9506
sequence_47789,10.0,sequence_47768,17.0,697.6137
sequence_47789,10.0,sequence_47771,18.0,697.6137
sequence_47789,10.0,sequence_47681,44.0,488.7765
sequence_47789,10.0,sequence_47696,47.0,488.7765
sequence_47789,10.0,sequence_47680,73.0,730.3778
sequence_47789,10.0,sequence_47673,65.5,697.6137
sequence_47789,10.0,sequence_47700,65.0,697.6137
sequence_47789,10.0,sequence_47689,52.0,697.6137
sequence_47789,10.0,sequence_47683,75.0,388.3722
sequence_47789,10.0,sequence_47697,55.5,428.8817
sequence_47789,10.0,sequence_47678,37.0,388.3722
sequence_47789,10.0,sequence_47682,53.0,388.3722
sequence_47789,10.0,sequence_47724,48.0,431.4958
sequence_47789,10.0,sequence_47806,73.0,355.4443
sequence_47789,10.0,sequence_47807,42.0,488.7765
sequence_47789,10.0,sequence_47804,23.0,428.8817
sequence_47789,10.0,sequence_47800,20.0,428.8817
sequence_47789,10.0,sequence_47799,24.0,428.8817
sequence_47789,10.0,sequence_47664,32.0,488.7765
sequence_47789,10.0,sequence_47666,69.0,697.6137
sequence_47789,10.0,sequence_47671,36.0,697.6137
sequence_47789,10.0,sequence_47727,45.0,473.5061
sequence_47789,10.0,sequence_47756,37.0,473.5061
sequence_47789,10.0,sequence_47775,23.0,473.5061
sequence_47789,10.0,sequence_47730,35.0,697.6137
sequence_47789,10.0,sequence_47758,22.0,697.6137
sequence_47789,10.0,sequence_47797,27.0,488.7765
sequence_47789,10.0,sequence_47798,23.0,697.6137
sequence_47789,10.0,sequence_47751,34.0,488.7765
sequence_47789,10.0,sequence_47741,102.0,697.6137
sequence_47789,10.0,sequence_47743,63.0,697.6137
sequence_47789,10.0,sequence_47752,67.0,697.6137
sequence_47789,10.0,sequence_47745,83.0,697.6137
sequence_47789,10.0,sequence_47747,72.0,697.6137
sequence_47789,10.0,sequence_47748,79.0,697.6137
sequence_47789,10.0,sequence_47749,81.0,697.6137
sequence_47789,10.0,sequence_47744,69.0,697.6137
sequence_47789,10.0,sequence_47721,40.0,429.6307
sequence_47789,10.0,sequence_47759,36.0,337.9506
sequence_47789,10.0,sequence_47774,21.0,384.644
sequence_47789,10.0,sequence_47770,25.0,337.9506
sequence_47789,10.0,sequence_47713,51.0,697.6137
sequence_47789,10.0,sequence_47738,55.0,697.6137
sequence_47789,10.0,sequence_47769,25.0,337.9506
sequence_47789,10.0,sequence_47702,69.0,488.7765
sequence_47789,10.0,sequence_47672,76.0,488.7765
sequence_47789,10.0,sequence_47705,71.0,488.7765
sequence_47789,10.0,sequence_47694,51.0,488.7765
sequence_47789,10.0,sequence_47691,40.0,488.7765
sequence_47789,10.0,sequence_47701,63.0,730.3778
sequence_47789,10.0,sequence_47706,77.0,730.3778
sequence_47789,10.0,sequence_47675,57.0,730.3778
sequence_47789,10.0,sequence_47698,56.0,488.7765
sequence_47789,10.0,sequence_47688,90.0,697.6137
sequence_47789,10.0,sequence_47704,98.0,388.3722
sequence_47789,10.0,sequence_47708,111.0,388.3722
sequence_47789,10.0,sequence_47709,119.0,488.7765
sequence_47789,10.0,sequence_47677,103.0,388.3722
sequence_47789,10.0,sequence_47692,87.5,428.8817
sequence_47789,10.0,sequence_47703,95.0,388.3722
sequence_47789,10.0,sequence_47707,79.0,388.3722
sequence_47789,10.0,sequence_47762,127.0,355.4443
sequence_47789,10.0,sequence_47765,118.0,447.1244
sequence_47789,10.0,sequence_47767,105.0,431.4958
sequence_47789,10.0,sequence_47812,121.0,355.4443
sequence_47789,10.0,sequence_47761,120.0,414.3603
sequence_47789,10.0,sequence_47764,118.0,355.4443
sequence_47789,10.0,sequence_47763,122.0,355.4443
sequence_47789,10.0,sequence_47699,62.0,428.8817
sequence_47789,10.0,sequence_47687,92.0,428.8817
sequence_47789,10.0,sequence_47693,64.0,428.8817
sequence_47789,10.0,sequence_47690,63.0,428.8817
sequence_47789,10.0,sequence_47712,49.0,428.8817
sequence_47789,10.0,sequence_47714,51.0,428.8817
sequence_47789,10.0,sequence_47725,57.0,431.4958
sequence_47789,10.0,sequence_47669,32.0,488.7765
sequence_47789,10.0,sequence_47668,48.0,488.7765
sequence_47789,10.0,sequence_47670,97.0,488.7765
sequence_47789,10.0,sequence_47665,50.0,488.7765
sequence_47789,10.0,sequence_47661,52.0,488.7765
sequence_47789,10.0,sequence_47667,86.0,697.6137
sequence_47789,10.0,sequence_47726,120.0,473.5061
sequence_47789,10.0,sequence_47734,110.0,473.5061
sequence_47789,10.0,sequence_47811,24.0,473.5061
sequence_47789,10.0,sequence_47662,28.0,473.5061
sequence_47789,10.0,sequence_47731,32.0,714.7492
sequence_47789,10.0,sequence_47733,25.0,488.7765
sequence_47789,10.0,sequence_47732,30.0,488.7765
sequence_47789,10.0,sequence_47755,100.0,488.7765
sequence_47789,10.0,sequence_47746,94.0,608.7516
sequence_47789,10.0,sequence_47754,70.0,488.7765
sequence_47789,10.0,sequence_47753,74.0,608.7516
sequence_47789,10.0,sequence_47740,158.0,447.51800000000003
sequence_47789,10.0,sequence_47742,108.0,337.9506
sequence_47789,10.0,sequence_47715,101.0,429.6307
sequence_47789,10.0,sequence_47718,81.0,429.6307
sequence_47789,10.0,sequence_47717,66.0,429.6307
sequence_47789,10.0,sequence_47720,80.0,429.6307
sequence_47789,10.0,sequence_47716,84.0,429.6307
sequence_47789,10.0,sequence_47719,66.0,429.6307
sequence_47789,10.0,sequence_47723,69.0,431.4958
sequence_47789,10.0,sequence_47722,75.0,429.6307
sequence_47789,10.0,sequence_47674,38.0,488.7765
sequence_47789,10.0,sequence_47676,56.0,388.3722
sequence_47789,10.0,sequence_47711,57.0,337.9506
sequence_47789,10.0,sequence_47739,35.0,337.9506
sequence_47789,10.0,sequence_47735,55.0,337.9506
sequence_47789,10.0,sequence_47793,16.0,697.6137
sequence_47789,10.0,sequence_47801,4.0,697.6137
sequence_47789,10.0,sequence_47805,22.0,697.6137
sequence_47789,10.0,sequence_47802,4.0,488.7765
sequence_47789,10.0,sequence_47794,18.0,384.644
sequence_47789,10.0,sequence_47728,12.0,697.6137
sequence_47789,10.0,sequence_47808,4.0,697.6137
sequence_47789,10.0,sequence_47792,12.0,697.6137
sequence_47789,10.0,sequence_47791,4.0,697.6137
sequence_47789,10.0,sequence_47788,5.0,488.7765
sequence_47789,10.0,sequence_47729,34.0,697.6137
sequence_47789,10.0,sequence_47809,10.0,697.6137
sequence_47789,10.0,sequence_47737,27.0,697.6137
sequence_47789,10.0,sequence_47810,5.57,697.6137
sequence_47789,10.0,sequence_47766,4.19,697.6137
sequence_47789,10.0,sequence_47736,19.0,697.6137
sequence_47790,9.0,sequence_47787,5.0,488.7765
sequence_47790,9.0,sequence_47684,23.0,488.7765
sequence_47790,9.0,sequence_47789,10.0,284.00239999999997
sequence_47790,9.0,sequence_47781,12.0,488.7765
sequence_47790,9.0,sequence_47777,11.0,488.7765
sequence_47790,9.0,sequence_47779,11.0,488.7765
sequence_47790,9.0,sequence_47784,21.0,488.7765
sequence_47790,9.0,sequence_47786,18.0,488.7765
sequence_47790,9.0,sequence_47782,17.0,488.7765
sequence_47790,9.0,sequence_47772,12.0,488.7765
sequence_47790,9.0,sequence_47795,7.0,505.3224
sequence_47790,9.0,sequence_47776,9.0,488.7765
sequence_47790,9.0,sequence_47685,24.0,488.7765
sequence_47790,9.0,sequence_47679,44.0,488.7765
sequence_47790,9.0,sequence_47695,52.0,488.7765
sequence_47790,9.0,sequence_47710,43.0,488.7765
sequence_47790,9.0,sequence_47686,22.0,388.3722
sequence_47790,9.0,sequence_47778,26.0,284.00239999999997
sequence_47790,9.0,sequence_47780,23.0,284.00239999999997
sequence_47790,9.0,sequence_47785,25.0,324.7492
sequence_47790,9.0,sequence_47803,12.0,428.8817
sequence_47790,9.0,sequence_47663,36.0,488.7765
sequence_47790,9.0,sequence_47757,36.0,488.7765
sequence_47790,9.0,sequence_47783,24.5,473.5061
sequence_47790,9.0,sequence_47796,20.0,488.7765
sequence_47790,9.0,sequence_47750,25.0,488.7765
sequence_47790,9.0,sequence_47760,26.0,488.7765
sequence_47790,9.0,sequence_47773,19.0,337.9506
sequence_47790,9.0,sequence_47768,17.0,488.7765
sequence_47790,9.0,sequence_47771,18.0,488.7765
sequence_47790,9.0,sequence_47681,44.0,488.7765
sequence_47790,9.0,sequence_47696,47.0,488.7765
sequence_47790,9.0,sequence_47680,73.0,488.7765
sequence_47790,9.0,sequence_47673,65.5,488.7765
sequence_47790,9.0,sequence_47700,65.0,488.7765
sequence_47790,9.0,sequence_47689,52.0,488.7765
sequence_47790,9.0,sequence_47683,75.0,388.3722
sequence_47790,9.0,sequence_47697,55.5,428.8817
sequence_47790,9.0,sequence_47678,37.0,388.3722
sequence_47790,9.0,sequence_47682,53.0,388.3722
sequence_47790,9.0,sequence_47724,48.0,431.4958
sequence_47790,9.0,sequence_47806,73.0,355.4443
sequence_47790,9.0,sequence_47807,42.0,488.7765
sequence_47790,9.0,sequence_47804,23.0,428.8817
sequence_47790,9.0,sequence_47800,20.0,428.8817
sequence_47790,9.0,sequence_47799,24.0,428.8817
sequence_47790,9.0,sequence_47664,32.0,488.7765
sequence_47790,9.0,sequence_47666,69.0,488.7765
sequence_47790,9.0,sequence_47671,36.0,488.7765
sequence_47790,9.0,sequence_47727,45.0,473.5061
sequence_47790,9.0,sequence_47756,37.0,473.5061
sequence_47790,9.0,sequence_47775,23.0,473.5061
sequence_47790,9.0,sequence_47730,35.0,488.7765
sequence_47790,9.0,sequence_47758,22.0,488.7765
sequence_47790,9.0,sequence_47797,27.0,488.7765
sequence_47790,9.0,sequence_47798,23.0,488.7765
sequence_47790,9.0,sequence_47751,34.0,488.7765
sequence_47790,9.0,sequence_47741,102.0,488.7765
sequence_47790,9.0,sequence_47743,63.0,488.7765
sequence_47790,9.0,sequence_47752,67.0,488.7765
