id_seq1,target_seq1,id_seq2,target_seq2,distance
sequence_40819,532,sequence_40861,464,118.1566
sequence_40819,532,sequence_40812,464,118.1566
sequence_40819,532,sequence_40854,465,118.1566
sequence_40819,532,sequence_40853,463,118.1566
sequence_40819,532,sequence_40848,461,118.1566
sequence_40819,532,sequence_40849,464,118.1566
sequence_40819,532,sequence_40850,462,118.1566
sequence_40819,532,sequence_40792,517,114.9855
sequence_40819,532,sequence_40790,523,153.2706
sequence_40819,532,sequence_40860,535,78.7042
sequence_40819,532,sequence_40839,538,27.7192
sequence_40819,532,sequence_40835,535,46.9186
sequence_40819,532,sequence_40824,523,27.7192
sequence_40819,532,sequence_40825,532,27.7192
sequence_40819,532,sequence_40797,558,48.603300000000004
sequence_40819,532,sequence_40800,558,42.6802
sequence_40819,532,sequence_40803,549,39.4524
sequence_40819,532,sequence_40804,561,78.7042
sequence_40819,532,sequence_40805,564,35.447900000000004
sequence_40819,532,sequence_40864,549,27.7192
sequence_40819,532,sequence_40808,543,60.481700000000004
sequence_40819,532,sequence_40810,549,27.7192
sequence_40819,532,sequence_40862,546,153.2706
sequence_40819,532,sequence_40859,543,116.1733
sequence_40819,532,sequence_40836,543,7.4662
sequence_40819,532,sequence_40837,543,82.0326
sequence_40819,532,sequence_40820,543,153.2706
sequence_40819,532,sequence_40821,549,114.9855
sequence_40819,532,sequence_40822,549,34.604299999999995
sequence_40819,532,sequence_40823,546,32.6232
sequence_40819,532,sequence_40834,546,56.0152
sequence_40819,532,sequence_40832,555,27.7192
sequence_40819,532,sequence_40833,549,42.6802
sequence_40819,532,sequence_40830,558,32.9529
sequence_40819,532,sequence_40798,579,48.603300000000004
sequence_40819,532,sequence_40865,580,32.9529
sequence_40819,532,sequence_40863,566,114.9855
sequence_40819,532,sequence_40801,561,42.6802
sequence_40819,532,sequence_40802,560,153.2706
sequence_40819,532,sequence_40796,567,114.9855
sequence_40819,532,sequence_40795,562,114.9855
sequence_40819,532,sequence_40866,620,48.603300000000004
sequence_40819,532,sequence_40799,597,48.603300000000004
sequence_40819,532,sequence_40788,510,48.603300000000004
sequence_40819,532,sequence_40867,622,48.603300000000004
sequence_40824,523,sequence_40826,539,12.314300000000003
sequence_40824,523,sequence_40787,510,82.0326
sequence_40824,523,sequence_40789,510,35.114
sequence_40824,523,sequence_40794,519,12.314300000000003
sequence_40824,523,sequence_40806,525,27.5288
sequence_40824,523,sequence_40807,528,62.7428
sequence_40824,523,sequence_40809,528,20.0626
sequence_40824,523,sequence_40811,534,32.9529
sequence_40824,523,sequence_40813,528,38.2851
sequence_40824,523,sequence_40814,510,88.0557
sequence_40824,523,sequence_40845,495,118.1566
sequence_40824,523,sequence_40855,522,12.314300000000003
sequence_40824,523,sequence_40857,522,19.3898
sequence_40824,523,sequence_40840,528,43.5039
sequence_40824,523,sequence_40841,528,12.314300000000003
sequence_40824,523,sequence_40842,522,12.314300000000003
sequence_40824,523,sequence_40844,519,109.7667
sequence_40824,523,sequence_40838,531,14.703499999999998
sequence_40824,523,sequence_40816,531,55.0637
sequence_40824,523,sequence_40817,528,12.314300000000003
sequence_40824,523,sequence_40818,522,83.5501
sequence_40824,523,sequence_40827,525,41.137100000000004
sequence_40824,523,sequence_40828,519,35.214
sequence_40824,523,sequence_40829,528,46.9186
sequence_40824,523,sequence_40831,525,55.0637
sequence_40824,523,sequence_40856,498,109.7667
sequence_40824,523,sequence_40815,498,109.7667
sequence_40824,523,sequence_40851,477,118.1566
sequence_40824,523,sequence_40847,486,118.1566
sequence_40824,523,sequence_40858,495,109.7667
sequence_40824,523,sequence_40852,474,118.1566
sequence_40824,523,sequence_40843,495,109.7667
sequence_40824,523,sequence_40846,483,118.1566
sequence_40824,523,sequence_40791,454,153.2706
sequence_40824,523,sequence_40793,456,118.1566
sequence_40824,523,sequence_40861,464,118.1566
sequence_40824,523,sequence_40812,464,118.1566
sequence_40824,523,sequence_40854,465,118.1566
sequence_40824,523,sequence_40853,463,118.1566
sequence_40824,523,sequence_40848,461,118.1566
sequence_40824,523,sequence_40849,464,118.1566
sequence_40824,523,sequence_40850,462,118.1566
sequence_40824,523,sequence_40792,517,114.9855
sequence_40824,523,sequence_40790,523,153.2706
sequence_40824,523,sequence_40860,535,78.7042
sequence_40824,523,sequence_40839,538,12.314300000000003
sequence_40824,523,sequence_40835,535,74.6378
sequence_40824,523,sequence_40819,532,27.7192
sequence_40824,523,sequence_40825,532,39.4524
sequence_40824,523,sequence_40797,558,48.603300000000004
sequence_40824,523,sequence_40800,558,42.6802
sequence_40824,523,sequence_40803,549,39.4524
sequence_40824,523,sequence_40804,561,78.7042
sequence_40824,523,sequence_40805,564,35.447900000000004
sequence_40824,523,sequence_40864,549,20.0626
sequence_40824,523,sequence_40808,543,60.481700000000004
sequence_40824,523,sequence_40810,549,12.314300000000003
sequence_40824,523,sequence_40862,546,153.2706
sequence_40824,523,sequence_40859,543,116.1733
sequence_40824,523,sequence_40836,543,35.1854
sequence_40824,523,sequence_40837,543,109.7518
sequence_40824,523,sequence_40820,543,153.2706
sequence_40824,523,sequence_40821,549,114.9855
sequence_40824,523,sequence_40822,549,34.604299999999995
sequence_40824,523,sequence_40823,546,32.6232
sequence_40824,523,sequence_40834,546,56.0152
sequence_40824,523,sequence_40832,555,12.314300000000003
sequence_40824,523,sequence_40833,549,42.6802
sequence_40824,523,sequence_40830,558,32.9529
sequence_40824,523,sequence_40798,579,48.603300000000004
sequence_40824,523,sequence_40865,580,32.9529
sequence_40824,523,sequence_40863,566,114.9855
sequence_40824,523,sequence_40801,561,42.6802
sequence_40824,523,sequence_40802,560,153.2706
sequence_40824,523,sequence_40796,567,114.9855
sequence_40824,523,sequence_40795,562,114.9855
sequence_40824,523,sequence_40866,620,48.603300000000004
sequence_40824,523,sequence_40799,597,48.603300000000004
sequence_40824,523,sequence_40788,510,48.603300000000004
sequence_40824,523,sequence_40867,622,48.603300000000004
sequence_40825,532,sequence_40826,539,27.138099999999998
sequence_40825,532,sequence_40787,510,82.0326
sequence_40825,532,sequence_40789,510,35.114
sequence_40825,532,sequence_40794,519,27.138099999999998
sequence_40825,532,sequence_40806,525,27.5288
sequence_40825,532,sequence_40807,528,62.7428
sequence_40825,532,sequence_40809,528,27.138099999999998
sequence_40825,532,sequence_40811,534,32.9529
sequence_40825,532,sequence_40813,528,38.2851
sequence_40825,532,sequence_40814,510,88.0557
sequence_40825,532,sequence_40845,495,118.1566
sequence_40825,532,sequence_40855,522,27.138099999999998
sequence_40825,532,sequence_40857,522,27.138099999999998
sequence_40825,532,sequence_40840,528,43.5039
sequence_40825,532,sequence_40841,528,27.138099999999998
sequence_40825,532,sequence_40842,522,27.138099999999998
sequence_40825,532,sequence_40844,519,109.7667
sequence_40825,532,sequence_40838,531,27.138099999999998
sequence_40825,532,sequence_40816,531,55.0637
sequence_40825,532,sequence_40817,528,27.138099999999998
sequence_40825,532,sequence_40818,522,83.5501
sequence_40825,532,sequence_40827,525,41.137100000000004
sequence_40825,532,sequence_40828,519,35.214
sequence_40825,532,sequence_40829,528,46.9186
sequence_40825,532,sequence_40831,525,55.0637
sequence_40825,532,sequence_40856,498,109.7667
sequence_40825,532,sequence_40815,498,109.7667
sequence_40825,532,sequence_40851,477,118.1566
sequence_40825,532,sequence_40847,486,118.1566
sequence_40825,532,sequence_40858,495,109.7667
sequence_40825,532,sequence_40852,474,118.1566
sequence_40825,532,sequence_40843,495,109.7667
sequence_40825,532,sequence_40846,483,118.1566
sequence_40825,532,sequence_40791,454,153.2706
sequence_40825,532,sequence_40793,456,118.1566
sequence_40825,532,sequence_40861,464,118.1566
sequence_40825,532,sequence_40812,464,118.1566
sequence_40825,532,sequence_40854,465,118.1566
sequence_40825,532,sequence_40853,463,118.1566
sequence_40825,532,sequence_40848,461,118.1566
sequence_40825,532,sequence_40849,464,118.1566
sequence_40825,532,sequence_40850,462,118.1566
sequence_40825,532,sequence_40792,517,114.9855
sequence_40825,532,sequence_40790,523,153.2706
sequence_40825,532,sequence_40860,535,78.7042
sequence_40825,532,sequence_40839,538,27.138099999999998
sequence_40825,532,sequence_40835,535,74.6378
sequence_40825,532,sequence_40819,532,27.7192
sequence_40825,532,sequence_40824,523,39.4524
sequence_40825,532,sequence_40797,558,48.603300000000004
sequence_40825,532,sequence_40800,558,42.6802
sequence_40825,532,sequence_40803,549,39.4524
sequence_40825,532,sequence_40804,561,78.7042
sequence_40825,532,sequence_40805,564,35.447900000000004
sequence_40825,532,sequence_40864,549,27.138099999999998
sequence_40825,532,sequence_40808,543,60.481700000000004
sequence_40825,532,sequence_40810,549,27.138099999999998
sequence_40825,532,sequence_40862,546,153.2706
sequence_40825,532,sequence_40859,543,116.1733
sequence_40825,532,sequence_40836,543,35.1854
sequence_40825,532,sequence_40837,543,109.7518
sequence_40825,532,sequence_40820,543,153.2706
sequence_40825,532,sequence_40821,549,114.9855
sequence_40825,532,sequence_40822,549,34.604299999999995
sequence_40825,532,sequence_40823,546,32.6232
sequence_40825,532,sequence_40834,546,56.0152
sequence_40825,532,sequence_40832,555,27.138099999999998
sequence_40825,532,sequence_40833,549,42.6802
sequence_40825,532,sequence_40830,558,32.9529
sequence_40825,532,sequence_40798,579,48.603300000000004
sequence_40825,532,sequence_40865,580,32.9529
sequence_40825,532,sequence_40863,566,114.9855
sequence_40825,532,sequence_40801,561,42.6802
sequence_40825,532,sequence_40802,560,153.2706
sequence_40825,532,sequence_40796,567,114.9855
sequence_40825,532,sequence_40795,562,114.9855
sequence_40825,532,sequence_40866,620,48.603300000000004
sequence_40825,532,sequence_40799,597,48.603300000000004
sequence_40825,532,sequence_40788,510,48.603300000000004
sequence_40825,532,sequence_40867,622,48.603300000000004
sequence_40797,558,sequence_40826,539,48.603300000000004
sequence_40797,558,sequence_40787,510,82.0326
sequence_40797,558,sequence_40789,510,48.603300000000004
sequence_40797,558,sequence_40794,519,48.603300000000004
sequence_40797,558,sequence_40806,525,48.603300000000004
sequence_40797,558,sequence_40807,528,62.7428
sequence_40797,558,sequence_40809,528,48.603300000000004
sequence_40797,558,sequence_40811,534,48.603300000000004
sequence_40797,558,sequence_40813,528,48.603300000000004
sequence_40797,558,sequence_40814,510,88.0557
sequence_40797,558,sequence_40845,495,118.1566
sequence_40797,558,sequence_40855,522,48.603300000000004
sequence_40797,558,sequence_40857,522,48.603300000000004
sequence_40797,558,sequence_40840,528,48.603300000000004
sequence_40797,558,sequence_40841,528,48.603300000000004
sequence_40797,558,sequence_40842,522,48.603300000000004
sequence_40797,558,sequence_40844,519,109.7667
sequence_40797,558,sequence_40838,531,48.603300000000004
sequence_40797,558,sequence_40816,531,55.0637
sequence_40797,558,sequence_40817,528,48.603300000000004
sequence_40797,558,sequence_40818,522,83.5501
sequence_40797,558,sequence_40827,525,48.603300000000004
sequence_40797,558,sequence_40828,519,48.603300000000004
sequence_40797,558,sequence_40829,528,48.603300000000004
sequence_40797,558,sequence_40831,525,55.0637
sequence_40797,558,sequence_40856,498,109.7667
sequence_40797,558,sequence_40815,498,109.7667
sequence_40797,558,sequence_40851,477,118.1566
sequence_40797,558,sequence_40847,486,118.1566
sequence_40797,558,sequence_40858,495,109.7667
sequence_40797,558,sequence_40852,474,118.1566
sequence_40797,558,sequence_40843,495,109.7667
sequence_40797,558,sequence_40846,483,118.1566
sequence_40797,558,sequence_40791,454,153.2706
sequence_40797,558,sequence_40793,456,118.1566
sequence_40797,558,sequence_40861,464,118.1566
sequence_40797,558,sequence_40812,464,118.1566
sequence_40797,558,sequence_40854,465,118.1566
sequence_40797,558,sequence_40853,463,118.1566
sequence_40797,558,sequence_40848,461,118.1566
sequence_40797,558,sequence_40849,464,118.1566
sequence_40797,558,sequence_40850,462,118.1566
sequence_40797,558,sequence_40792,517,114.9855
sequence_40797,558,sequence_40790,523,153.2706
sequence_40797,558,sequence_40860,535,78.7042
sequence_40797,558,sequence_40839,538,48.603300000000004
sequence_40797,558,sequence_40835,535,74.6378
sequence_40797,558,sequence_40819,532,48.603300000000004
sequence_40797,558,sequence_40824,523,48.603300000000004
sequence_40797,558,sequence_40825,532,48.603300000000004
sequence_40797,558,sequence_40800,558,5.923100000000002
sequence_40797,558,sequence_40803,549,88.0557
sequence_40797,558,sequence_40804,561,30.100900000000003
sequence_40797,558,sequence_40805,564,13.1554
sequence_40797,558,sequence_40864,549,68.6659
sequence_40797,558,sequence_40808,543,60.481700000000004
sequence_40797,558,sequence_40810,549,48.603300000000004
sequence_40797,558,sequence_40862,546,153.2706
sequence_40797,558,sequence_40859,543,116.1733
sequence_40797,558,sequence_40836,543,48.603300000000004
sequence_40797,558,sequence_40837,543,109.7518
sequence_40797,558,sequence_40820,543,153.2706
sequence_40797,558,sequence_40821,549,114.9855
sequence_40797,558,sequence_40822,549,48.603300000000004
sequence_40797,558,sequence_40823,546,48.603300000000004
sequence_40797,558,sequence_40834,546,56.0152
sequence_40797,558,sequence_40832,555,48.603300000000004
sequence_40797,558,sequence_40833,549,48.603300000000004
sequence_40797,558,sequence_40830,558,48.603300000000004
sequence_40797,558,sequence_40798,579,32.9529
sequence_40797,558,sequence_40865,580,68.6659
sequence_40797,558,sequence_40863,566,114.9855
sequence_40797,558,sequence_40801,561,32.9529
sequence_40797,558,sequence_40802,560,153.2706
sequence_40797,558,sequence_40796,567,114.9855
sequence_40797,558,sequence_40795,562,114.9855
sequence_40797,558,sequence_40866,620,32.9529
sequence_40797,558,sequence_40799,597,35.1854
sequence_40797,558,sequence_40788,510,35.114
sequence_40797,558,sequence_40867,622,35.1854
sequence_40800,558,sequence_40826,539,42.6802
sequence_40800,558,sequence_40787,510,82.0326
sequence_40800,558,sequence_40789,510,42.6802
sequence_40800,558,sequence_40794,519,42.6802
sequence_40800,558,sequence_40806,525,42.6802
sequence_40800,558,sequence_40807,528,62.7428
sequence_40800,558,sequence_40809,528,42.6802
sequence_40800,558,sequence_40811,534,42.6802
sequence_40800,558,sequence_40813,528,42.6802
sequence_40800,558,sequence_40814,510,88.0557
sequence_40800,558,sequence_40845,495,118.1566
sequence_40800,558,sequence_40855,522,42.6802
sequence_40800,558,sequence_40857,522,42.6802
sequence_40800,558,sequence_40840,528,43.5039
sequence_40800,558,sequence_40841,528,42.6802
sequence_40800,558,sequence_40842,522,42.6802
sequence_40800,558,sequence_40844,519,109.7667
sequence_40800,558,sequence_40838,531,42.6802
sequence_40800,558,sequence_40816,531,55.0637
sequence_40800,558,sequence_40817,528,42.6802
sequence_40800,558,sequence_40818,522,83.5501
sequence_40800,558,sequence_40827,525,42.6802
sequence_40800,558,sequence_40828,519,42.6802
sequence_40800,558,sequence_40829,528,46.9186
sequence_40800,558,sequence_40831,525,55.0637
sequence_40800,558,sequence_40856,498,109.7667
sequence_40800,558,sequence_40815,498,109.7667
sequence_40800,558,sequence_40851,477,118.1566
sequence_40800,558,sequence_40847,486,118.1566
sequence_40800,558,sequence_40858,495,109.7667
sequence_40800,558,sequence_40852,474,118.1566
sequence_40800,558,sequence_40843,495,109.7667
sequence_40800,558,sequence_40846,483,118.1566
sequence_40800,558,sequence_40791,454,153.2706
sequence_40800,558,sequence_40793,456,118.1566
sequence_40800,558,sequence_40861,464,118.1566
sequence_40800,558,sequence_40812,464,118.1566
sequence_40800,558,sequence_40854,465,118.1566
sequence_40800,558,sequence_40853,463,118.1566
sequence_40800,558,sequence_40848,461,118.1566
sequence_40800,558,sequence_40849,464,118.1566
sequence_40800,558,sequence_40850,462,118.1566
sequence_40800,558,sequence_40792,517,114.9855
sequence_40800,558,sequence_40790,523,153.2706
sequence_40800,558,sequence_40860,535,78.7042
sequence_40800,558,sequence_40839,538,42.6802
sequence_40800,558,sequence_40835,535,74.6378
sequence_40800,558,sequence_40819,532,42.6802
sequence_40800,558,sequence_40824,523,42.6802
sequence_40800,558,sequence_40825,532,42.6802
sequence_40800,558,sequence_40797,558,5.923100000000002
sequence_40800,558,sequence_40803,549,82.1326
sequence_40800,558,sequence_40804,561,36.024
